city,country,id,latitude,longitude,state
Neuss,Deutschland,2089937.0,51.166782,6.758324,Nordrhein-Westfalen
Wangen im Allgäu,Deutschland,854304.0,47.62496,9.748494,Baden-Württemberg
Krakow am See,Deutschland,567231.0,53.652162,12.272202,Mecklenburg-Vorpommern
Triesdorf (VGem),Deutschland,1796232.0,49.202035,10.651031,Bayern
Meiste,Deutschland,1997447.0,51.508168,8.491858,Nordrhein-Westfalen
Leinfelden-Echterdingen,Deutschland,513823.0,48.695804,9.187928,Baden-Württemberg
Saarbrücken,Deutschland,1995641.0,49.216468,7.02979,Saarland
Wolfsburg,Deutschland,1504046.0,52.43574,10.746877,Niedersachsen
Neu-Ulm,Deutschland,1921208.0,48.385716,10.032324,Bayern
Böblingen,Deutschland,1980334.0,48.693937,9.012877,Baden-Württemberg
Berlin,Deutschland,495309.0,52.489938,13.424433,Berlin
Buchholz in der Nordheide,Deutschland,1275737.0,53.352715,9.868568,Niedersachsen
,,631418.0,0.0,0.0,
Teterow,Deutschland,1698840.0,53.776656,12.571698,Mecklenburg-Vorpommern
Samtgemeinde Bevern,Deutschland,2172559.0,51.8593,9.485281,Niedersachsen
Neuss,Deutschland,2499599.0,51.193024,6.676929,Nordrhein-Westfalen
Verwaltungsverband Kappelrodeck,Deutschland,1544066.0,48.562332,8.222281,Baden-Württemberg
Oberursel,Deutschland,1549125.0,50.18426,8.5817,Hessen
Berlin,Deutschland,1190091.0,52.5188,13.409133,Berlin
Freital,Deutschland,1370732.0,51.002967,13.666252,Sachsen
Rendsburg,Deutschland,151026.0,54.310684,9.637705,Schleswig-Holstein
Pulsnitz,Deutschland,1231443.0,51.181905,14.012552,Sachsen
Gemeindeverwaltungsverband Holzgerlingen,Deutschland,64586.0,48.627419,8.99966,Baden-Württemberg
Langenfeld (Rheinland),Deutschland,279574.0,51.101912,6.934707,Nordrhein-Westfalen
Straßkirchen,Deutschland,1271543.0,48.639354,13.47609,Bayern
Berlin,Deutschland,861865.0,52.544852,13.515322,Berlin
Bad Segeberg,Deutschland,2125298.0,53.938007,10.298054,Schleswig-Holstein
Langenberg,Deutschland,602963.0,49.769144,10.47069,Bayern
Oberstdorf,Deutschland,1458592.0,47.409553,10.280011,Bayern
Brigachtal,Deutschland,1301901.0,48.011724,8.454426,Baden-Württemberg
Bremen,Deutschland,1619295.0,53.083234,8.873405,Bremen
Kloster Veilsdorf,Deutschland,484940.0,50.416924,10.806149,Thüringen
Ansbach,Deutschland,1108235.0,49.262363,10.624502,Bayern
Werl,Deutschland,162068.0,51.561132,7.901556,Nordrhein-Westfalen
Heidelberg,Deutschland,2043904.0,49.394903,8.671391,Baden-Württemberg
Leipzig,Deutschland,520656.0,51.33041,12.31555,Sachsen
Neuensee,Deutschland,1596257.0,50.163067,11.111796,Bayern
Neubiberg,Deutschland,324586.0,48.083005,11.637134,Bayern
Stuttgart,Deutschland,1552118.0,48.726496,9.121497,Baden-Württemberg
